Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Day;AOIS_28;Nonequivalent;Nonequivalent;AOIS;22;0;1;1;0;0;[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8];6;8;7.25;[1, 2];1;2;1.5;[21];[24, 23];[1];[1, 1];3;If;0.75;0.375;0.07;0.0;0.0
Day;VDL_5;Nonequivalent;Nonequivalent;VDL;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.8333333333333334;0.042;0.0;0.0
Day;ODL_3;Nonequivalent;Nonequivalent;ODL;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.7142857142857143;0.042;0.0;0.0
Day;AORB_13;Nonequivalent;Nonequivalent;AORB;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.75;0.042;0.0;0.0
Day;CDL_5;Nonequivalent;Nonequivalent;CDL;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.3333333333333333;0.042;0.0;0.0
Day;AOIS_1;Nonequivalent;Nonequivalent;AOIS;1;0;1;1;1;0;[0];0;0;0.0;[7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8, 7, 8, 9, 8, 9, 10, 8, 9, 10, 6, 7, 8];6;10;8.25;[];[15];[];[0];2;Function Call;0.5;0.375;0.011;0.0;0.0
Day;ODL_15;Nonequivalent;Nonequivalent;ODL;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.7142857142857143;0.042;0.0;0.0
Day;AORB_15;Nonequivalent;Nonequivalent;AORB;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.75;0.042;0.0;0.0
Day;ROR_20;Nonequivalent;Nonequivalent;ROR;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.8571428571428571;0.042;0.0;0.0
Day;AOIS_18;Nonequivalent;Nonequivalent;AOIS;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.375;0.042;0.0;0.0
Day;ODL_12;Nonequivalent;Nonequivalent;ODL;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.7142857142857143;0.042;0.0;0.0
Day;ROR_16;Nonequivalent;Nonequivalent;ROR;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.8571428571428571;0.042;0.0;0.0
Day;AOIS_19;Nonequivalent;Nonequivalent;AOIS;18;0;1;1;0;0;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];5;5;5.0;[3, 4, 5, 3, 4, 5];3;5;4.0;[17];[20, 19];[1];[1, 1];17;If;0.6986301369863014;0.375;0.042;0.0;0.0
